"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
X,X,X,X,X
X,X,X,X,X
5,3,2.94,1.84,1.1
X,X,X,X,X
12,2,15.38,13.19,2.2
0,0,0,0,0
109,39,10.02,7.38,2.64
7,1,1.57,1.37,0.2
16,1,4.43,4.17,0.26
1,0,0.88,0.88,0
X,X,X,X,X
171,47,14.88,11.67,3.21
5,1,1.05,0.87,0.17
6,1,5.38,4.62,0.77
X,X,X,X,X
15,1,3.76,3.53,0.24
0,0,0,0,0
1,0,1.14,1.14,0
0,1,0.88,0,0.88
3,3,2.05,1.03,1.03
7,3,1.58,1.11,0.47
1,0,1.82,1.82,0
0,0,0,0,0
8,1,2.5,2.22,0.28
21,2,3.54,3.23,0.31
4,0,1.2,1.2,0
2,0,1.68,1.68,0
12,0,2.45,2.45,0
0,0,0,0,0
0,0,0,0,0
1,0,3.7,3.7,0
1,0,4.55,4.55,0
X,X,X,X,X
7,4,3.65,2.33,1.33
37,9,2.48,1.99,0.48
5,3,4.73,2.96,1.78
0,1,5.26,0,5.26
3,2,0.59,0.36,0.24
1,2,1.59,0.53,1.06
12,20,11.23,4.21,7.02
3,3,0.99,0.49,0.49
X,X,X,X,X
1,0,0.37,0.37,0
0,0,0,0,0
5,6,4.98,2.26,2.71
28,13,2.56,1.75,0.81
11,27,5.32,1.54,3.78
1,1,1.37,0.68,0.68
1,0,0.42,0.42,0
11,24,8.03,2.52,5.5
2,2,0.87,0.44,0.44
9,0,1.05,1.05,0
2,0,8,8,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
5,4,3.11,1.73,1.38
X,X,X,X,X
19,4,23.47,19.39,4.08
0,1,1.85,0,1.85
137,68,12.6,8.42,4.18
19,2,3.55,3.21,0.34
23,2,6,5.52,0.48
0,0,0,0,0
X,X,X,X,X
178,57,15.82,11.99,3.84
16,4,3.47,2.77,0.69
6,2,4.82,3.61,1.2
X,X,X,X,X
25,1,6.5,6.25,0.25
1,0,0.85,0.85,0
2,0,1.96,1.96,0
3,1,3.54,2.65,0.88
1,2,1.22,0.41,0.82
8,2,1.64,1.31,0.33
0,0,0,0,0
0,0,0,0,0
6,4,2.62,1.57,1.05
27,3,4.17,3.76,0.42
7,0,2.15,2.15,0
3,1,2.99,2.24,0.75
11,0,2.25,2.25,0
0,1,1.15,0,1.15
1,1,2.82,1.41,1.41
1,0,7.69,7.69,0
0,0,0,0,0
X,X,X,X,X
19,4,6.8,5.62,1.18
53,5,3.49,3.19,0.3
1,6,4.76,0.68,4.08
0,0,0,0,0
3,5,1.04,0.39,0.65
2,2,1.97,0.99,0.99
18,32,15.38,5.54,9.85
4,3,1.1,0.63,0.47
X,X,X,X,X
4,3,2.32,1.32,0.99
2,0,1.28,1.28,0
3,2,2.75,1.65,1.1
27,21,3.06,1.72,1.34
23,30,7.03,3.05,3.98
1,1,1.46,0.73,0.73
1,1,1.1,0.55,0.55
11,34,8.84,2.16,6.68
2,0,0.64,0.64,0
21,1,2.49,2.37,0.11
2,1,9.09,6.06,3.03
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,2,1.87,1.12,0.75
X,X,X,X,X
13,2,12.61,10.92,1.68
0,4,5.26,0,5.26
172,83,13.44,9.07,4.38
26,6,5.28,4.29,0.99
32,1,6.57,6.37,0.2
4,1,4.81,3.85,0.96
X,X,X,X,X
236,73,17.94,13.7,4.24
14,4,2.68,2.08,0.6
7,2,5.7,4.43,1.27
0,3,15,0,15
43,10,10.66,8.65,2.01
4,2,4.58,3.05,1.53
3,0,3.09,3.09,0
5,0,4.35,4.35,0
7,2,2.86,2.22,0.63
12,5,2.75,1.94,0.81
1,1,2.99,1.49,1.49
0,0,0,0,0
15,4,4.28,3.38,0.9
54,6,7.72,6.95,0.77
16,3,5.76,4.85,0.91
4,0,2.94,2.94,0
8,2,2.21,1.77,0.44
3,1,4.12,3.09,1.03
2,0,2,2,0
1,0,5.56,5.56,0
0,0,0,0,0
X,X,X,X,X
17,6,5.87,4.34,1.53
85,9,5.37,4.86,0.51
