"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""*Beginning for the 2015-16 season""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""", reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test,""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" and the percent positive by influenza type."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
2,2,0.6,0.3,0.3
0,0,0,0,0
X,X,X,X,X
1,0,0.39,0.39,0
5,3,0.69,0.43,0.26
1,0,0.21,0.21,0
2,0,0.21,0.21,0
1,12,5.7,0.44,5.26
1,0,0.17,0.17,0
1,0,0.38,0.38,0
8,3,1.27,0.92,0.35
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,1,0.04,0,0.04
9,3,0.35,0.26,0.09
9,0,0.54,0.54,0
X,X,X,X,X
14,6,0.69,0.48,0.21
1,0,0.16,0.16,0
9,0,0.43,0.43,0
0,0,0,0,0
X,X,X,X,X
4,3,0.57,0.33,0.25
0,0,0,0,0
0,0,0,0,0
45,34,1.09,0.62,0.47
X,X,X,X,X
0,0,0,0,0
3,0,0.29,0.29,0
11,1,0.65,0.6,0.05
2,0,0.2,0.2,0
11,2,0.44,0.38,0.07
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,0.25,0.25,0
X,X,X,X,X
1,0,0.52,0.52,0
0,0,0,0,0
37,4,1.08,0.98,0.11
2,0,0.19,0.19,0
3,1,0.38,0.28,0.09
X,X,X,X,X
X,X,X,X,X
4,5,2.49,1.1,1.38
3,4,0.61,0.26,0.35
43,30,4.04,2.38,1.66
0,0,0,0,0
2,0,0.56,0.56,0
0,1,0.42,0,0.42
1,1,0.18,0.09,0.09
2,0,0.63,0.63,0
4,0,0.48,0.48,0
0,0,0,0,0
X,X,X,X,X
0,0,0,0,0
7,5,0.88,0.51,0.37
1,0,0.21,0.21,0
3,1,0.39,0.29,0.1
0,2,1.01,0,1.01
1,1,0.27,0.13,0.13
2,0,0.68,0.68,0
6,5,0.98,0.53,0.44
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,2,0.38,0.3,0.08
18,5,0.58,0.45,0.13
4,0,0.2,0.2,0
X,X,X,X,X
14,3,0.47,0.39,0.08
1,0,0.14,0.14,0
2,3,0.23,0.09,0.14
3,0,1.64,1.64,0
X,X,X,X,X
14,4,1.41,1.09,0.31
0,0,0,0,0
0,0,0,0,0
52,31,0.97,0.61,0.36
X,X,X,X,X
0,0,0,0,0
1,0,0.08,0.08,0
13,2,0.75,0.65,0.1
0,0,0,0,0
12,1,0.39,0.36,0.03
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
3,0,0.78,0.78,0
X,X,X,X,X
0,0,0,0,0
0,1,0.18,0,0.18
27,8,1,0.77,0.23
5,3,0.68,0.43,0.26
5,0,0.35,0.35,0
X,X,X,X,X
X,X,X,X,X
4,1,1.47,1.18,0.29
6,2,0.77,0.58,0.19
46,32,4.24,2.5,1.74
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,6,0.67,0.22,0.45
0,0,0,0,0
3,0,0.38,0.38,0
2,0,4.08,4.08,0
X,X,X,X,X
2,0,0.56,0.56,0
3,3,0.4,0.2,0.2
0,0,0,0,0
5,0,0.44,0.44,0
0,4,2.42,0,2.42
0,0,0,0,0
0,0,0,0,0
2,4,0.56,0.19,0.37
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,1,0.35,0.31,0.04
17,1,0.45,0.43,0.03
2,0,0.08,0.08,0
X,X,X,X,X
11,1,0.28,0.25,0.02
0,0,0,0,0
8,1,0.36,0.32,0.04
1,0,0.42,0.42,0
X,X,X,X,X
19,3,1.69,1.46,0.23
0,0,0,0,0
0,0,0,0,0
34,48,1.06,0.44,0.62
X,X,X,X,X
2,0,0.85,0.85,0
5,0,0.4,0.4,0
23,1,1.23,1.17,0.05
1,0,0.07,0.07,0
12,3,0.38,0.31,0.08
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,0.37,0.37,0
X,X,X,X,X
2,0,1.23,1.23,0
0,2,0.47,0,0.47
29,4,0.91,0.8,0.11
3,0,0.27,0.27,0
4,1,0.36,0.29,0.07
X,X,X,X,X
X,X,X,X,X
3,3,1.74,0.87,0.87
7,9,1.57,0.69,0.88
58,41,4.76,2.79,1.97
1,0,0.49,0.49,0
2,0,0.4,0.4,0
0,0,0,0,0
3,6,0.61,0.2,0.41
2,0,0.63,0.63,0
1,0,0.12,0.12,0
3,0,4.55,4.55,0
X,X,X,X,X
0,0,0,0,0
1,6,0.45,0.06,0.39
1,0,0.17,0.17,0
7,0,0.49,0.49,0
0,8,4.88,0,4.88
1,2,0.36,0.12,0.24
2,0,0.47,0.47,0
0,4,0.35,0,0.35
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
14,3,0.75,0.62,0.13
16,1,0.37,0.35,0.02
5,3,0.31,0.19,0.12
X,X,X,X,X
24,2,0.58,0.53,0.04
2,0,0.29,0.29,0
13,1,0.49,0.46,0.04
0,0,0,0,0
X,X,X,X,X
13,4,1.33,1.02,0.31
0,0,0,0,0
0,0,0,0,0
33,31,0.94,0.48,0.45
X,X,X,X,X
0,0,0,0,0
5,0,0.37,0.37,0
33,2,1.47,1.39,0.08
1,0,0.07,0.07,0
19,12,0.6,0.37,0.23
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
1,0,0.52,0.52,0
X,X,X,X,X
1,0,0.57,0.57,0
2,0,0.5,0.5,0
28,4,0.87,0.76,0.11
5,2,0.55,0.39,0.16
3,1,0.26,0.19,0.06
X,X,X,X,X
X,X,X,X,X
5,6,3.05,1.39,1.66
14,24,2.03,0.75,1.28
54,60,5.56,2.63,2.92
0,0,0,0,0
1,0,0.2,0.2,0
0,2,0.75,0,0.75
4,4,0.55,0.28,0.28
1,0,0.31,0.31,0
3,1,0.5,0.37,0.12
0,0,0,0,0
X,X,X,X,X
1,1,0.54,0.27,0.27
3,14,0.93,0.16,0.76
1,0,0.15,0.15,0
3,1,0.25,0.19,0.06
2,1,2.22,1.48,0.74
1,0,0.12,0.12,0
6,1,1.62,1.39,0.23
2,3,0.47,0.19,0.28
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,0,0.4,0.4,0
20,6,0.45,0.35,0.1
14,2,0.61,0.54,0.08
X,X,X,X,X
27,6,0.67,0.54,0.12
1,0,0.15,0.15,0
17,1,0.59,0.56,0.03
0,0,0,0,0
X,X,X,X,X
17,11,2.2,1.33,0.86
0,0,0,0,0
0,0,0,0,0
20,48,1.36,0.4,0.96
X,X,X,X,X
3,1,1.41,1.06,0.35
5,1,0.45,0.38,0.08
25,3,0.98,0.88,0.11
6,0,0.45,0.45,0
30,13,0.7,0.49,0.21
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
0,3,1.08,0,1.08
X,X,X,X,X
3,1,2.86,2.14,0.71
0,1,0.23,0,0.23
20,5,0.67,0.53,0.13
9,2,0.84,0.69,0.15
4,0,0.26,0.26,0
X,X,X,X,X
X,X,X,X,X
3,2,2.16,1.29,0.86
12,9,2.06,1.18,0.88
56,58,5.97,2.93,3.04
0,0,0,0,0
2,5,1.41,0.4,1.01
0,4,1.59,0,1.59
5,0,0.42,0.42,0
1,0,0.3,0.3,0
7,0,0.99,0.99,0
2,1,4.55,3.03,1.52
X,X,X,X,X
1,0,0.32,0.32,0
9,12,1.31,0.56,0.75
2,0,0.29,0.29,0
0,2,0.14,0,0.14
2,8,5.88,1.18,4.71
1,0,0.12,0.12,0
4,3,1.48,0.84,0.63
1,1,0.2,0.1,0.1
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
10,0,0.38,0.38,0
14,5,0.33,0.24,0.09
13,2,0.58,0.51,0.08
X,X,X,X,X
28,7,0.8,0.64,0.16
1,0,0.15,0.15,0
12,1,0.4,0.37,0.03
1,0,0.3,0.3,0
X,X,X,X,X
10,7,1.28,0.75,0.53
0,0,0,0,0
0,0,0,0,0
63,57,1.78,0.93,0.85
X,X,X,X,X
4,0,1.32,1.32,0
4,1,0.37,0.3,0.07
23,1,0.72,0.69,0.03
6,3,0.68,0.46,0.23
24,16,0.65,0.39,0.26
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,2,2.51,1.95,0.56
X,X,X,X,X
2,0,1.09,1.09,0
5,3,1.97,1.23,0.74
26,5,0.93,0.78,0.15
12,3,1.13,0.91,0.23
1,1,0.12,0.06,0.06
X,X,X,X,X
X,X,X,X,X
5,15,5.99,1.5,4.49
20,27,2.52,1.07,1.45
66,79,6.72,3.06,3.66
0,0,0,0,0
1,7,9.09,1.14,7.95
0,3,1.03,0,1.03
4,0,0.32,0.32,0
0,0,0,0,0
2,1,0.45,0.3,0.15
2,0,3.51,3.51,0
1,0,0.12,0.12,0
0,0,0,0,0
12,3,0.74,0.59,0.15
0,0,0,0,0
6,1,0.45,0.38,0.06
1,8,6.57,0.73,5.84
3,0,0.17,0.17,0
5,2,1.41,1.01,0.4
12,3,1.29,1.03,0.26
X,X,X,X,X
X,X,X,X,X
7,1,0.57,0.5,0.07
10,3,0.49,0.38,0.11
21,7,0.48,0.36,0.12
14,3,0.62,0.51,0.11
1,0,0.45,0.45,0
25,9,0.56,0.41,0.15
0,2,0.29,0,0.29
8,4,0.66,0.44,0.22
2,0,0.58,0.58,0
X,X,X,X,X
18,20,2.86,1.35,1.5
0,0,0,0,0
1,2,3.9,1.3,2.6
54,55,1.65,0.82,0.83
X,X,X,X,X
3,0,0.82,0.82,0
14,3,1.33,1.1,0.24
33,1,1.12,1.09,0.03
5,2,0.54,0.38,0.15
21,10,0.57,0.39,0.18
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
5,2,1.92,1.37,0.55
X,X,X,X,X
3,0,1.84,1.84,0
3,0,0.74,0.74,0
37,6,1.2,1.03,0.17
23,8,2.18,1.62,0.56
6,2,0.52,0.39,0.13
X,X,X,X,X
X,X,X,X,X
15,14,7.38,3.82,3.56
21,22,2.26,1.1,1.16
95,61,7.43,4.52,2.9
1,1,0.78,0.39,0.39
3,2,4.9,2.94,1.96
0,1,0.33,0,0.33
3,0,0.23,0.23,0
3,0,0.86,0.86,0
4,0,0.62,0.62,0
4,1,10,8,2
1,0,0.11,0.11,0
2,2,1.11,0.56,0.56
9,11,1.08,0.49,0.59
1,0,0.15,0.15,0
7,1,0.58,0.51,0.07
1,15,8.47,0.53,7.94
9,2,0.61,0.5,0.11
3,4,1.36,0.58,0.78
12,2,1.09,0.93,0.16
X,X,X,X,X
X,X,X,X,X
7,0,0.53,0.53,0
9,3,0.44,0.33,0.11
26,7,0.61,0.48,0.13
30,4,1.21,1.06,0.14
3,0,1.18,1.18,0
35,12,0.79,0.59,0.2
3,3,0.77,0.39,0.39
10,3,0.7,0.54,0.16
0,0,0,0,0
X,X,X,X,X
15,9,1.77,1.11,0.66
0,0,0,0,0
0,2,1.94,0,1.94
105,76,2.73,1.58,1.15
X,X,X,X,X
1,0,0.27,0.27,0
7,0,0.56,0.56,0
36,1,1.16,1.13,0.03
0,0,0,0,0
35,13,0.78,0.57,0.21
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
9,5,3.89,2.5,1.39
X,X,X,X,X
2,0,1.18,1.18,0
2,4,1.54,0.51,1.03
54,10,1.72,1.45,0.27
21,3,1.74,1.52,0.22
7,2,0.6,0.47,0.13
X,X,X,X,X
X,X,X,X,X
7,30,10.76,2.03,8.72
33,31,3.61,1.86,1.75
103,58,7.09,4.53,2.55
1,4,1.89,0.38,1.51
2,1,3.53,2.35,1.18
0,2,0.83,0,0.83
5,0,0.36,0.36,0
5,0,1.39,1.39,0
5,0,0.78,0.78,0
0,2,3.57,0,3.57
4,0,0.45,0.45,0
2,0,0.55,0.55,0
5,6,0.55,0.25,0.3
0,0,0,0,0
8,3,0.68,0.49,0.18
3,2,2.56,1.54,1.03
8,0,0.43,0.43,0
1,1,0.44,0.22,0.22
13,3,1.21,0.98,0.23
X,X,X,X,X
X,X,X,X,X
23,2,1.93,1.78,0.15
11,8,0.64,0.37,0.27
35,8,0.77,0.63,0.14
21,12,1.38,0.88,0.5
1,0,0.4,0.4,0
36,5,0.66,0.58,0.08
4,2,0.78,0.52,0.26
11,5,0.89,0.61,0.28
3,1,1.14,0.85,0.28
X,X,X,X,X
21,13,2.61,1.61,1
0,0,0,0,0
0,2,2.13,0,2.13
126,71,2.82,1.81,1.02
X,X,X,X,X
3,0,0.9,0.9,0
16,2,1.35,1.2,0.15
43,9,1.64,1.36,0.28
0,0,0,0,0
39,11,0.77,0.6,0.17
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
7,6,3.26,1.75,1.5
X,X,X,X,X
4,2,3.9,2.6,1.3
3,3,1.45,0.72,0.72
70,8,2.12,1.9,0.22
33,9,3.16,2.48,0.68
22,2,1.5,1.37,0.12
X,X,X,X,X
X,X,X,X,X
11,24,9.78,3.07,6.7
51,44,4.68,2.51,2.17
127,67,8.65,5.66,2.99
4,2,2.52,1.68,0.84
4,3,5.98,3.42,2.56
1,0,0.39,0.39,0
10,5,1.08,0.72,0.36
3,1,1.07,0.8,0.27
7,0,0.99,0.99,0
2,3,6.67,2.67,4
7,0,0.85,0.85,0
6,0,1.42,1.42,0
14,11,1.24,0.69,0.54
2,1,0.45,0.3,0.15
7,0,0.41,0.41,0
1,4,3.14,0.63,2.52
3,3,0.32,0.16,0.16
0,1,0.26,0,0.26
3,5,0.59,0.22,0.37
X,X,X,X,X
X,X,X,X,X
23,5,2.11,1.74,0.38
10,6,0.52,0.32,0.19
38,4,0.74,0.67,0.07
28,9,1.28,0.97,0.31
0,0,0,0,0
41,9,0.78,0.64,0.14
7,0,0.81,0.81,0
11,3,0.83,0.65,0.18
2,0,0.44,0.44,0
X,X,X,X,X
16,13,2.28,1.26,1.02
0,0,0,0,0
1,0,1.33,1.33,0
161,124,3.85,2.17,1.67
X,X,X,X,X
4,0,1.15,1.15,0
34,1,2.58,2.51,0.07
39,4,1.32,1.2,0.12
1,0,0.09,0.09,0
43,11,0.78,0.62,0.16
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
28,23,11.59,6.36,5.23
X,X,X,X,X
5,1,3.19,2.66,0.53
3,8,2.35,0.64,1.71
298,31,3.57,3.23,0.34
60,14,5.48,4.44,1.04
31,6,2.23,1.87,0.36
X,X,X,X,X
X,X,X,X,X
21,32,9.52,3.77,5.75
76,48,5.98,3.67,2.32
157,61,9.08,6.54,2.54
7,0,2.66,2.66,0
1,3,3.15,0.79,2.36
1,2,0.99,0.33,0.66
10,8,1.29,0.72,0.57
1,1,0.45,0.22,0.22
15,3,2.18,1.82,0.36
4,3,8.75,5,3.75
9,0,1.08,1.08,0
0,1,0.24,0,0.24
31,15,2.14,1.44,0.7
5,1,0.99,0.82,0.16
20,2,1.24,1.12,0.11
0,1,0.61,0,0.61
13,4,0.88,0.67,0.21
6,2,1.95,1.46,0.49
14,4,1.19,0.93,0.27
X,X,X,X,X
X,X,X,X,X
32,3,2.3,2.1,0.2
31,3,1,0.91,0.09
53,8,1.08,0.94,0.14
42,10,1.65,1.33,0.32
2,0,0.87,0.87,0
18,6,0.38,0.28,0.09
2,1,0.34,0.23,0.11
9,6,0.84,0.5,0.33
3,0,0.68,0.68,0
X,X,X,X,X
21,28,3.52,1.51,2.01
0,0,0,0,0
1,1,2.74,1.37,1.37
214,209,5.43,2.75,2.68
X,X,X,X,X
7,0,1.92,1.92,0
49,1,3.58,3.51,0.07
62,6,2.11,1.92,0.19
1,0,0.09,0.09,0
92,10,1.53,1.38,0.15
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
38,62,18.21,6.92,11.29
X,X,X,X,X
5,0,2.48,2.48,0
6,14,3.62,1.09,2.54
684,64,4.83,4.41,0.41
97,34,8.41,6.23,2.18
33,4,1.97,1.75,0.21
X,X,X,X,X
X,X,X,X,X
16,31,10.63,3.62,7.01
138,77,8.67,5.57,3.11
142,68,8.45,5.71,2.74
7,5,3.64,2.12,1.52
5,2,4.73,3.38,1.35
1,1,0.66,0.33,0.33
25,12,2.36,1.6,0.77
1,2,0.65,0.22,0.44
17,5,2.76,2.13,0.63
15,7,20.95,14.29,6.67
9,1,1.11,1,0.11
5,2,1.56,1.12,0.45
45,34,3.33,1.9,1.43
3,0,0.45,0.45,0
16,3,0.95,0.8,0.15
8,10,9.14,4.06,5.08
26,4,1.41,1.22,0.19
16,8,4.99,3.33,1.66
29,11,1.94,1.4,0.53
X,X,X,X,X
X,X,X,X,X
30,3,2.36,2.14,0.21
28,12,1.09,0.76,0.33
102,18,1.99,1.69,0.3
108,50,4.53,3.09,1.43
4,0,1.35,1.35,0
77,18,1.34,1.08,0.25
10,0,0.98,0.98,0
26,15,2,1.27,0.73
7,0,1.02,1.02,0
X,X,X,X,X
54,74,7.53,3.18,4.35
1,0,0.97,0.97,0
0,8,6.02,0,6.02
400,381,8.41,4.31,4.1
X,X,X,X,X
23,0,5.82,5.82,0
58,4,4.19,3.92,0.27
69,5,2.21,2.06,0.15
4,2,0.51,0.34,0.17
193,21,2.62,2.36,0.26
0,0,0,0,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
33,88,19,5.18,13.81
X,X,X,X,X
8,0,3.83,3.83,0
3,11,2.03,0.44,1.6
1018,70,6.08,5.69,0.39
183,60,13.13,9.89,3.24
56,5,2.98,2.73,0.24
X,X,X,X,X
X,X,X,X,X
12,38,12.02,2.88,9.13
76,33,6.79,4.74,2.06
147,54,7.2,5.27,1.93
8,7,4.6,2.45,2.15
6,3,5.7,3.8,1.9
1,1,0.66,0.33,0.33
25,11,2.14,1.48,0.65
17,0,3.08,3.08,0
19,14,3.66,2.11,1.55
15,15,21.28,10.64,10.64
16,2,1.73,1.54,0.19
10,2,2.3,1.92,0.38
55,35,3.59,2.19,1.4
5,0,0.75,0.75,0
28,7,1.7,1.36,0.34
10,14,9.72,4.05,5.67
24,7,1.38,1.07,0.31
39,27,11.54,6.82,4.72
26,14,2.11,1.37,0.74
X,X,X,X,X
X,X,X,X,X
45,3,2.79,2.61,0.17
83,16,2.65,2.23,0.43
143,24,2.61,2.24,0.38
126,36,4.25,3.31,0.94
4,4,2.31,1.16,1.16
121,35,1.96,1.52,0.44
28,1,2.46,2.37,0.08
27,8,1.78,1.37,0.41
8,1,1.07,0.95,0.12
X,X,X,X,X
66,103,9.93,3.88,6.05
0,0,0,0,0
0,4,3.33,0,3.33
544,442,9.69,5.35,4.35
X,X,X,X,X
28,0,6.09,6.09,0
78,4,5.28,5.02,0.26
109,27,3.04,2.43,0.6
4,0,0.36,0.36,0
384,23,4.55,4.29,0.26
2,1,10.71,7.14,3.57
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
34,82,21.09,6.18,14.91
X,X,X,X,X
14,5,10.86,8,2.86
5,8,2.35,0.9,1.45
1046,62,6.83,6.45,0.38
216,47,14.18,11.64,2.53
84,2,3.97,3.87,0.09
X,X,X,X,X
X,X,X,X,X
11,34,10.54,2.58,7.96
206,91,13.66,9.47,4.18
139,49,8.3,6.13,2.16
15,5,5.87,4.4,1.47
13,5,9.38,6.77,2.6
4,4,2.69,1.35,1.35
42,23,3.74,2.42,1.32
14,1,2.85,2.66,0.19
8,14,2.84,1.03,1.8
8,21,34.12,9.41,24.71
24,0,2.31,2.31,0
15,1,3.52,3.3,0.22
78,26,4.5,3.37,1.12
8,1,1.27,1.13,0.14
31,5,1.78,1.53,0.25
11,12,8.01,3.83,4.18
34,13,2.15,1.56,0.6
85,27,18.09,13.73,4.36
27,10,1.94,1.42,0.52
X,X,X,X,X
X,X,X,X,X
59,6,3.98,3.62,0.37
97,27,3.52,2.76,0.77
218,17,3.93,3.65,0.28
150,60,5.84,4.17,1.67
7,2,2.59,2.01,0.57
246,43,3.86,3.28,0.57
21,3,2.13,1.86,0.27
36,13,2.75,2.02,0.73
22,3,2.76,2.43,0.33
X,X,X,X,X
73,126,11.82,4.33,7.48
0,0,0,0,0
2,4,4.88,1.63,3.25
505,416,10.21,5.6,4.61
X,X,X,X,X
24,0,5.29,5.29,0
62,3,4.72,4.5,0.22
188,50,5.12,4.04,1.08
6,1,0.55,0.47,0.08
440,25,5.21,4.93,0.28
2,0,11.11,11.11,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
37,91,20.71,5.99,14.72
X,X,X,X,X
13,0,6.74,6.74,0
10,20,4.59,1.53,3.06
1728,110,8.49,7.98,0.51
234,60,13.5,10.75,2.76
110,0,4.64,4.64,0
X,X,X,X,X
X,X,X,X,X
11,37,10.26,2.35,7.91
222,81,11.27,8.26,3.01
116,62,10.06,6.55,3.5
15,13,6.22,3.33,2.89
8,6,6.17,3.52,2.64
11,5,4.08,2.81,1.28
99,34,5.89,4.39,1.51
22,1,3.01,2.88,0.13
20,19,3.56,1.82,1.73
6,21,27.84,6.19,21.65
45,2,3.57,3.42,0.15
33,4,6.34,5.65,0.68
109,49,5.86,4.04,1.82
20,0,2.52,2.52,0
56,10,2.77,2.35,0.42
7,20,12.44,3.23,9.22
45,26,2.57,1.63,0.94
102,27,17.34,13.71,3.63
56,11,2.7,2.26,0.44
X,X,X,X,X
X,X,X,X,X
100,10,5.97,5.43,0.54
284,30,7.4,6.69,0.71
417,33,5.81,5.38,0.43
304,80,8.42,6.67,1.75
16,3,4.25,3.58,0.67
347,75,4.49,3.69,0.8
26,5,2.51,2.11,0.41
75,12,4.03,3.47,0.56
49,5,5.4,4.9,0.5
X,X,X,X,X
119,135,13.73,6.43,7.3
0,0,0,0,0
2,4,4.05,1.35,2.7
643,475,10.74,6.18,4.57
X,X,X,X,X
24,0,5.45,5.45,0
101,5,5.91,5.63,0.28
239,65,5.24,4.12,1.12
15,5,1.26,0.94,0.31
665,53,6.01,5.57,0.44
7,1,13.33,11.67,1.67
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
67,140,28.16,9.12,19.05
X,X,X,X,X
18,4,9.17,7.5,1.67
16,26,6.89,2.62,4.26
2574,142,11.88,11.26,0.62
287,96,17.31,12.97,4.34
142,10,6.19,5.78,0.41
X,X,X,X,X
X,X,X,X,X
19,24,9.19,4.06,5.13
379,165,15.22,10.6,4.62
230,41,9.64,8.19,1.46
11,9,5.09,2.8,2.29
13,7,10.47,6.81,3.66
13,5,4.36,3.15,1.21
173,39,8.39,6.85,1.54
34,0,5.12,5.12,0
43,38,7.61,4.04,3.57
11,17,26.42,10.38,16.04
57,3,4.58,4.35,0.23
57,6,10.34,9.36,0.99
204,54,8.72,6.89,1.82
19,1,2.34,2.23,0.12
114,12,5.06,4.57,0.48
21,15,14.17,8.27,5.91
93,63,4.65,2.77,1.88
141,34,22.35,18.01,4.34
84,40,4.61,3.13,1.49
X,X,X,X,X
X,X,X,X,X
177,10,9.1,8.61,0.49
579,42,12.34,11.51,0.83
673,51,9.19,8.54,0.65
412,101,10.96,8.8,2.16
34,12,9.48,7.01,2.47
464,93,5.67,4.72,0.95
21,10,2.55,1.72,0.82
125,10,6.12,5.67,0.45
107,6,10.51,9.95,0.56
X,X,X,X,X
61,27,4.4,3.05,1.35
1,1,1.85,0.93,0.93
7,8,9.93,4.64,5.3
1069,661,15.5,9.58,5.92
X,X,X,X,X
28,0,5.76,5.76,0
141,5,8.46,8.17,0.29
328,97,7.5,5.79,1.71
9,11,1.42,0.64,0.78
1096,70,9.47,8.9,0.57
5,1,18.18,15.15,3.03
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
85,137,29.96,11.47,18.49
X,X,X,X,X
14,2,6.99,6.11,0.87
16,60,12.77,2.69,10.08
3690,215,14.95,14.12,0.82
321,156,23.16,15.58,7.57
185,15,8.02,7.42,0.6
X,X,X,X,X
X,X,X,X,X
21,34,12.09,4.62,7.47
723,238,20.45,15.39,5.06
204,32,9.22,7.97,1.25
33,5,9.27,8.05,1.22
22,8,13.76,10.09,3.67
17,8,5.47,3.72,1.75
246,63,10.83,8.62,2.21
41,1,5.43,5.3,0.13
68,62,11.15,5.83,5.32
15,22,30.33,12.3,18.03
83,4,6.23,5.94,0.29
120,2,19.3,18.99,0.32
346,46,12.68,11.19,1.49
29,2,3.63,3.39,0.23
208,16,8.4,7.8,0.6
28,31,16.62,7.89,8.73
148,180,8.23,3.72,4.52
290,42,32.94,28.77,4.17
139,67,7.06,4.76,2.3
X,X,X,X,X
X,X,X,X,X
322,41,15.02,13.33,1.7
1020,133,21.55,19.07,2.49
1133,88,13.09,12.14,0.94
690,177,16.07,12.79,3.28
61,17,15.06,11.78,3.28
821,155,9.1,7.66,1.45
45,23,5.38,3.56,1.82
172,12,7.77,7.26,0.51
192,13,16.83,15.76,1.07
X,X,X,X,X
95,49,6.29,4.15,2.14
1,0,1.14,1.14,0
15,20,18.72,8.02,10.7
1337,880,20.86,12.58,8.28
X,X,X,X,X
35,0,6.97,6.97,0
204,12,11.57,10.93,0.64
378,105,8.25,6.45,1.79
22,19,2.48,1.33,1.15
1588,148,12.22,11.18,1.04
10,0,21.74,21.74,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
95,153,32.38,12.4,19.97
X,X,X,X,X
39,5,15.17,13.45,1.72
42,107,21.19,5.97,15.22
5378,313,18.38,17.37,1.01
327,228,23.19,13.66,9.53
324,27,12.1,11.16,0.93
X,X,X,X,X
X,X,X,X,X
43,11,11.82,9.41,2.41
440,205,14.71,10.03,4.68
229,29,9.79,8.69,1.1
77,20,16.19,12.85,3.34
24,12,15.93,10.62,5.31
30,25,10.11,5.51,4.6
352,97,14.37,11.27,3.1
78,2,9.29,9.06,0.23
67,65,13.51,6.86,6.65
28,49,40.31,14.66,25.65
186,2,11,10.88,0.12
192,8,23.67,22.72,0.95
486,52,16.44,14.85,1.59
77,4,8.56,8.14,0.42
237,15,9.36,8.8,0.56
42,46,20.71,9.88,10.82
201,235,10.2,4.7,5.5
194,53,36.01,28.28,7.73
245,78,10.61,8.05,2.56
X,X,X,X,X
X,X,X,X,X
450,40,18.52,17.01,1.51
1525,207,27.32,24.06,3.27
1706,87,17.95,17.08,0.87
993,331,21.14,15.86,5.29
136,17,24.09,21.42,2.68
1343,263,13.91,11.63,2.28
74,32,7.34,5.12,2.21
330,30,13.15,12.06,1.1
293,24,23.52,21.74,1.78
X,X,X,X,X
331,261,22.9,12.8,10.1
1,2,3.37,1.12,2.25
22,20,19.53,10.23,9.3
2375,1168,26.11,17.5,8.61
X,X,X,X,X
29,1,6.49,6.28,0.22
299,21,15.72,14.69,1.03
492,121,10.14,8.14,2
49,45,5.39,2.81,2.58
2369,177,15.97,14.86,1.11
13,0,40.63,40.63,0
X,X,X,X,X
X,X,X,X,X
X,X,X,X,X
83,111,25.76,11.02,14.74
X,X,X,X,X
43,11,19.08,15.19,3.89
85,67,23.1,12.92,10.18
4208,288,16.36,15.31,1.05
370,279,27.47,15.66,11.81
453,13,14.76,14.34,0.41
X,X,X,X,X
X,X,X,X,X
40,12,9.74,7.49,2.25
860,448,22.89,15.05,7.84
286,37,10.2,9.03,1.17
92,17,17.19,14.51,2.68
25,16,15.02,9.16,5.86
36,32,13.05,6.91,6.14
383,109,15.4,11.99,3.41
77,3,10.9,10.49,0.41
83,72,15.11,8.09,7.02
26,47,38.42,13.68,24.74
237,2,12.47,12.36,0.1
224,10,24.92,23.86,1.06
641,51,19.78,18.32,1.46
