COVID-19_Season,Doses,Cumulative_Doses,Age_Group
2023-2024,2018865,19034468,18+
2023-2024,21902,7368909,18-49
2023-2024,24812,8067019,75+
2024-2025,970310,2916692,60-74
2023-2024,670049,1080007,50-64
2023-2024,387359,4895253,18-49
2023-2024,99429,13827047,18-64
2023-2024,20599,7450868,18-49
2023-2024,11770,7285926,50-64
2023-2024,390223,409958,50-64
2023-2024,33408,6898904,50-64
2023-2024,21733,7325410,18-49
2023-2024,15210,8104702,75+
2023-2024,76117,13903164,18-64
2023-2024,52667,15610944,65+
2023-2024,157155,16519548,65+
2023-2024,86106,6700300,50-64
2023-2024,120241,6678714,75+
2023-2024,38836,12675217,60-74
2023-2024,972843,23228944,18+
2023-2024,188766,6221756,50-64
2023-2024,201084,15984876,65+
2023-2024,12972,7133805,50-64
2024-2025,481622,5192201,75+
2023-2024,1401231,9573877,65+
2023-2024,75356,75356,18+
2023-2024,1026261,24255205,18+
2023-2024,265651,5476454,18-49
2023-2024,15445,7259978,50-64
2023-2024,1056545,10630422,65+
2023-2024,50395,6960756,75+
2023-2024,39559,7043817,18-49
2023-2024,169276,31165728,18+
2023-2024,394897,9733439,60-74
2024-2025,1213561,9770396,65+
2023-2024,91405,32101592,18+
2023-2024,67294,11587390,60-74
2023-2024,21597,7347007,18-49
2023-2024,907689,25162894,18+
2023-2024,56428,14149702,18-64
2024-2025,473579,1720059,18-49
2024-2025,902651,5797596,60-74
2023-2024,50161,14199863,18-64
2023-2024,54062,6821437,50-64
2024-2025,961885,6629846,18-64
2023-2024,858650,2948922,75+
2023-2024,44792,14295509,18-64
2023-2024,42093,11722376,60-74
2024-2025,2463957,9419126,18+
2024-2025,982596,4894945,60-74
2023-2024,2871189,14414418,18+
2023-2024,557659,27747905,18+
2023-2024,12243,7196848,50-64
2024-2025,143334,143334,50-64
2023-2024,116879,31813108,18+
2023-2024,49270,17609420,65+
2023-2024,31065,12878927,60-74
2024-2025,1375646,2835936,65+
2023-2024,744279,10011279,18-64
2023-2024,117554,11914868,60-74
2024-2025,2319925,14224793,18+
2023-2024,96862,31909970,18+
2023-2024,467817,11563268,18-64
2023-2024,70804,7551921,75+
2023-2024,516223,11095451,18-64
2024-2025,520555,2427451,50-64
2023-2024,34960,14515777,18-64
2023-2024,22892,7053286,75+
2023-2024,655289,4358266,75+
2023-2024,268386,14765274,65+
2023-2024,333136,9338542,60-74
2023-2024,28179,28179,60-74
2023-2024,1259746,6241774,18-64
2023-2024,76678,7481117,75+
2024-2025,895855,2647960,18-64
2023-2024,336278,5580710,75+
2023-2024,42709,7004258,18-49
2023-2024,35612,14446247,18-64
2023-2024,746292,774471,60-74
2023-2024,211004,14496888,65+
2023-2024,65392,17328160,65+
2023-2024,20411,7471279,18-49
2023-2024,108019,12131966,60-74
2023-2024,17737,7508818,18-49
2023-2024,240488,15005762,65+
2023-2024,88248,7313292,75+
2023-2024,756659,2615844,50-64
2023-2024,281707,28901381,18+
2023-2024,20930,7022687,50-64
2023-2024,78957,32350683,18+
2024-2025,2196257,4588042,18+
2023-2024,153919,15159681,65+
2023-2024,30261,6929165,50-64
2023-2024,567949,10579228,18-64
2023-2024,408227,11971495,18-64
2023-2024,240448,6178952,18-49
2023-2024,91147,7404439,75+
2023-2024,503652,27190246,18+
2023-2024,130973,16791853,65+
2023-2024,21276,7390185,18-49
2023-2024,159496,6652672,18-49
2023-2024,20274,7042961,50-64
2023-2024,156232,6493176,18-49
2023-2024,32639,12948123,60-74
2023-2024,107018,6759690,18-49
2023-2024,33069,14614878,18-64
2024-2025,517731,2237790,18-49
2023-2024,265762,10631857,60-74
2023-2024,356920,5116025,50-64
2023-2024,115105,16906958,65+
2024-2025,1002719,5667961,18-64
2023-2024,366792,13966418,65+
2023-2024,14178,7274156,50-64
2024-2025,188976,188976,75+
2023-2024,109079,12023947,60-74
2023-2024,50060,7726423,75+
2024-2025,820611,1752105,18-64
2023-2024,775019,25937913,18+
2023-2024,80433,6840123,18-49
2023-2024,1744111,1819467,18+
2023-2024,362031,384395,18-49
2023-2024,85501,17180452,65+
2024-2025,1317207,8556835,65+
2024-2025,582150,4710579,75+
2023-2024,176204,5756914,75+
2023-2024,34449,12816325,60-74
2023-2024,13879,7120833,50-64
2023-2024,28557,7945962,75+
2024-2025,1484963,5792172,65+
2023-2024,88356,17094951,65+
2024-2025,660409,931494,18-64
2023-2024,962320,8404047,18-64
2023-2024,50100,11637490,60-74
2024-2025,422947,3664213,18-49
2024-2025,1001161,10771557,65+
2023-2024,603002,3862917,50-64
2023-2024,151866,31317594,18+
2023-2024,24482,12972605,60-74
2024-2025,469729,3388578,50-64
2023-2024,16301,7077295,50-64
2023-2024,22473,8089492,75+
2024-2025,271085,271085,18-64
2023-2024,991857,1025114,65+
2023-2024,716903,2366183,18-49
2023-2024,510037,13159754,65+
2023-2024,252399,5368424,50-64
2023-2024,120461,31696229,18+
2023-2024,31537,12847862,60-74
2023-2024,147508,13607500,18-64
2023-2024,74938,11797314,60-74
2023-2024,32842,14647720,18-64
2023-2024,94031,32524047,18+
2023-2024,1351915,4827003,60-74
2023-2024,122925,31575768,18+
2023-2024,1018977,7000801,60-74
2023-2024,58562,7676363,75+
2023-2024,194099,6177004,75+
2024-2025,843311,6640907,60-74
2023-2024,1458407,3475088,60-74
2023-2024,615675,2981858,18-49
2023-2024,524726,28272631,18+
2024-2025,724540,1033765,60-74
2023-2024,42793,11680283,60-74
2024-2025,429386,429386,65+
2023-2024,159925,6336929,75+
2023-2024,292648,12693357,18-64
2023-2024,99637,17006595,65+
2024-2025,434633,929907,50-64
2023-2024,83873,11520096,60-74
2023-2024,55370,6961549,18-49
2023-2024,34570,14480817,18-64
2023-2024,77881,12298517,60-74
2023-2024,88670,12220636,60-74
2024-2025,978995,3626955,18-64
2023-2024,31843,7885017,75+
2023-2024,694018,1649280,18-49
2023-2024,22395,7001757,50-64
2023-2024,347043,28619674,18+
2024-2025,351940,495274,50-64
2024-2025,473907,662883,75+
2023-2024,100217,32010187,18+
2024-2025,671445,1334328,75+
2023-2024,188249,6032990,50-64
2023-2024,403179,5244432,75+
2023-2024,67147,17395307,65+
2023-2024,19802,7491081,18-49
2023-2024,88517,15493051,65+
2023-2024,18033,7060994,50-64
2024-2025,725915,2060243,75+
2023-2024,34033,7147943,18-49
2023-2024,36557,12915484,60-74
2023-2024,53957,7131462,75+
2023-2024,51057,17504927,65+
2023-2024,22326,7573649,18-49
2023-2024,250572,5618996,50-64
2023-2024,38303,14373874,18-64
2024-2025,726440,2786683,75+
2024-2025,820197,7450043,18-64
2023-2024,15346,7092641,50-64
2023-2024,36761,14410635,18-64
2023-2024,738710,12244823,65+
2023-2024,14313,7106954,50-64
2023-2024,225745,5844741,50-64
2023-2024,134199,15293880,65+
2023-2024,18652,7527470,18-49
2023-2024,414347,4759105,50-64
2023-2024,13058,7146863,50-64
2023-2024,24786,6979362,50-64
2023-2024,3477231,8207549,18+
2023-2024,82966,32184558,18+
2023-2024,20468,7594117,18-49
2023-2024,570867,955262,18-49
2023-2024,230772,29132153,18+
2023-2024,82316,17262768,65+
2024-2025,505416,1906896,50-64
2023-2024,35233,12750656,60-74
2023-2024,187946,29320099,18+
2023-2024,66056,6906179,18-49
2024-2025,1821359,18221598,18+
2023-2024,34563,14550340,18-64
2023-2024,1611443,8172646,65+
2024-2025,471573,1401480,50-64
2023-2024,481841,4344758,50-64
2023-2024,36691,7080508,18-49
2023-2024,65880,7617801,75+
2023-2024,482987,4841253,75+
2023-2024,655071,8445976,60-74
2023-2024,141343,29461442,18+
2023-2024,23853,7551323,18-49
2023-2024,22364,22364,18-49
2023-2024,1242210,2016681,60-74
2023-2024,284238,13266868,18-64
2023-2024,20504,7430269,18-49
2023-2024,42165,7812539,75+
2023-2024,31469,14581809,18-64
2023-2024,225991,5982905,75+
2023-2024,73806,15579001,18-64
2023-2024,401210,30667985,18+
2023-2024,99322,34914145,18+
2023-2024,120035,34704847,18+
2023-2024,66518,15645519,18-64
2023-2024,104491,16367462,65+
2023-2024,130331,7061669,75+
2023-2024,36638,7563398,50-64
2024-2025,2598836,15257125,18+
2023-2024,793164,2692676,50-64
2023-2024,466790,5044649,50-64
2023-2024,265457,15809629,65+
2023-2024,44942,16060177,18-64
2023-2024,150201,7027225,50-64
2023-2024,284816,31292094,18+
2024-2025,409735,853908,18-49
2024-2025,589589,3031095,18-49
2023-2024,49427,12408016,60-74
2023-2024,54872,18767831,65+
2023-2024,59426,18649623,65+
2024-2025,557012,2030669,50-64
2023-2024,352278,15026496,65+
2023-2024,35865,16498438,18-64
2024-2025,144836,144836,50-64
2023-2024,159951,17802214,65+
2023-2024,87756,7603818,18-49
2023-2024,156170,17642263,65+
2023-2024,717065,8789584,60-74
2023-2024,1075068,24553053,18+
2023-2024,384076,10600206,60-74
2023-2024,27322,7683440,50-64
2023-2024,48561,8371258,75+
2023-2024,40989,13602903,60-74
2023-2024,887261,3004828,75+
2023-2024,36339,8455137,75+
2023-2024,102366,15264526,18-64
2023-2024,352926,5604519,18-49
2024-2025,780841,7849886,60-74
2023-2024,63381,16568596,65+
2023-2024,26608,8293602,18-49
2024-2025,190339,190339,75+
2023-2024,128046,7412918,18-49
2023-2024,1548109,5137884,18-64
2024-2025,1046273,1478301,65+
2023-2024,42184,42184,18-64
2023-2024,480191,12964565,18-64
2023-2024,98236,13001640,60-74
2023-2024,116856,12903404,60-74
