Current Season,Month,Numerator,Population,Jurisdiction,Estimate,Age_group_label,Legend
2023-24,APR,1591,7989,Federated States of Micronesia,0.1991,9-12 years,"2023-24, Federated States of Micronesia: 9-12 years"
2023-24,JUN,218531,674238,South Dakota,0.3241,18+ years,"2023-24, South Dakota: 18+ years"
2023-24,MAY,349,1139.5,N. Mariana Islands,0.3061,6-23 months,"2023-24, N. Mariana Islands: 6-23 months"
2023-24,NOV,11848,49273,South Dakota,0.2405,5-8 years,"2023-24, South Dakota: 5-8 years"
2023-24,SEP,173361,1047935,Wisconsin,0.1654,65+ years,"2023-24, Wisconsin: 65+ years"
2024-25,JAN,23377,55916,Iowa,0.4181,6-23 months,"2024-25, Iowa: 6-23 months"
2022-23,JAN,749877,4006528,Michigan,0.1872,18-49 years,"2022-23, Michigan: 18-49 years"
2022-23,MAR,628718,1089714,Missouri,0.577,65+ years,"2022-23, Missouri: 65+ years"
2022-23,SEP,0,4829.5,Republic of Palau,0,6 months to 17 years,"2022-23, Republic of Palau: 6 months to 17 years"
2023-24,FEB,441000,1622553.5,Washington,0.2718,6 months to 17 years,"2023-24, Washington: 6 months to 17 years"
2023-24,JUN,404464,1218497,Colorado,0.3319,6 months to 17 years,"2023-24, Colorado: 6 months to 17 years"
2023-24,MAY,,,Kansas,,65+ years,"2023-24, Kansas: 65+ years"
2023-24,NOV,,,Kansas,,13-17 years,"2023-24, Kansas: 13-17 years"
2023-24,SEP,1,6226,U.S. Virgin Islands ,0.0002,9-12 years,"2023-24, U.S. Virgin Islands : 9-12 years"
2024-25,JUL,0,78981,Philadelphia,0,5-8 years,"2024-25, Philadelphia: 5-8 years"
2024-25,SEP,,,Virginia,,Overall,"2024-25, Virginia: Overall"
2022-23,DEC,74937,451792,Indiana,0.1659,13-17 years,"2022-23, Indiana: 13-17 years"
2022-23,JAN,196270,678480,New York State,0.2893,13-17 years,"2022-23, New York (excluding New York City): 13-17 years"
2022-23,JAN,164159,857079,New Mexico,0.1915,18-49 years,"2022-23, New Mexico: 18-49 years"
2022-23,JAN,1236,7989,Federated States of Micronesia,0.1547,9-12 years,"2022-23, Federated States of Micronesia: 9-12 years"
2022-23,MAY,146268,386838,New Mexico,0.3781,50-64 years,"2022-23, New Mexico: 50-64 years"
2022-23,OCT,1415200,5801275.5,Wisconsin,0.2439,Overall,"2022-23, Wisconsin: Overall"
2023-24,APR,14600,45161,Delaware,0.3233,5-8 years,"2023-24, Delaware: 5-8 years"
2023-24,APR,79440,275092,Wisconsin,0.2888,5-8 years,"2023-24, Wisconsin: 5-8 years"
2023-24,DEC,187010,570423.5,Texas,0.3278,6-23 months,"2023-24, Texas: 6-23 months"
2023-24,FEB,37306,52209,Connecticut,0.7146,6-23 months,"2023-24, Connecticut: 6-23 months"
2023-24,NOV,180496,293776,Maine,0.6144,65+ years,"2023-24, Maine: 65+ years"
2024-25,DEC,132932,1219345,Florida,0.109,13-17 years,"2024-25, Florida: 13-17 years"
2022-23,AUG,2957,1687066,Texas,0.0018,9-12 years,"2022-23, Texas: 9-12 years"
2022-23,DEC,20347,113842,Arkansas,0.1787,2-4 years,"2022-23, Arkansas: 2-4 years"
2022-23,JUL,,,Rhode Island,,65+ years,"2022-23, Rhode Island: 65+ years"
2022-23,JUN,,,Kansas,,18-49 years,"2022-23, Kansas: 18-49 years"
2022-23,NOV,8363,187055,Puerto Rico,0.0447,13-17 years,"2022-23, Puerto Rico: 13-17 years"
2022-23,OCT,3845,53615.5,Mississippi,0.0717,6-23 months,"2022-23, Mississippi: 6-23 months"
2024-25,JAN,56227,333492,Tennessee,0.1686,5-8 years,"2024-25, Tennessee: 5-8 years"
2024-25,NOV,,,South Carolina,,13-17 years,"2024-25, South Carolina: 13-17 years"
2023-24,APR,8445,26358,District of Columbia,0.3204,9-12 years,"2023-24, District of Columbia: 9-12 years"
2023-24,DEC,133496,587166,Nevada,0.2274,50-64 years,"2023-24, Nevada: 50-64 years"
2023-24,FEB,73006,200231,Ohio,0.3646,6-23 months,"2023-24, Ohio: 6-23 months"
2023-24,JUN,258,1992,Republic of Palau,0.1295,65+ years,"2023-24, Republic of Palau: 65+ years"
2023-24,OCT,11271,53773,Maine,0.2096,5-8 years,"2023-24, Maine: 5-8 years"
2024-25,DEC,1608783,8567802,California,0.1878,6 months to 17 years,"2024-25, California: 6 months to 17 years"
2022-23,AUG,0,22448,U.S. Virgin Islands ,0,50-64 years,"2022-23, U.S. Virgin Islands : 50-64 years"
2022-23,DEC,19429,133291,Idaho,0.1458,13-17 years,"2022-23, Idaho: 13-17 years"
2022-23,FEB,421695,1218497,Colorado,0.3461,6 months to 17 years,"2022-23, Colorado: 6 months to 17 years"
2022-23,JAN,124757,583228,District of Columbia,0.2139,18+ years,"2022-23, District of Columbia: 18+ years"
2022-23,MAR,0,4619939,Georgia,0,18-49 years,"2022-23, Georgia: 18-49 years"
2022-23,NOV,0,5553,U.S. Virgin Islands ,0,5-8 years,"2022-23, U.S. Virgin Islands : 5-8 years"
2024-25,JUL,1,63424,Oregon,0,6-23 months,"2024-25, Oregon: 6-23 months"
2024-25,NOV,18897,55916,Iowa,0.338,6-23 months,"2024-25, Iowa: 6-23 months"
2022-23,NOV,20018,173878,Alaska,0.1151,6 months to 17 years,"2022-23, Alaska: 6 months to 17 years"
2023-24,APR,1726076,4574131,Wisconsin,0.3774,18+ years,"2023-24, Wisconsin: 18+ years"
2023-24,DEC,20933,155213,Nevada,0.1349,5-8 years,"2023-24, Nevada: 5-8 years"
2023-24,JAN,619976,2707942,Illinois,0.2289,6 months to 17 years,"2023-24, Illinois: 6 months to 17 years"
