Week Ending,COVID-19_Season,Estimate,MMWR_Year,MMWR_Week,Enrollment Date,As of date,Race and ethnicity,Current_Season_Week_Ending_Label
11/16/2024 12:00:00 AM,2024-2025,23.48,2024,46,08/01/2024 12:00:00 AM,,Overall,2024-11-16
11/02/2024 12:00:00 AM,2024-2025,21.16,2024,44,08/01/2024 12:00:00 AM,,Overall,2024-11-02
11/09/2024 12:00:00 AM,2024-2025,22.4,2024,45,08/01/2024 12:00:00 AM,,Overall,2024-11-09
11/23/2024 12:00:00 AM,2024-2025,24.38,2024,47,08/01/2024 12:00:00 AM,,Overall,2024-11-23
11/30/2024 12:00:00 AM,2024-2025,24.78,2024,48,08/01/2024 12:00:00 AM,,Overall,2024-11-30
11/09/2024 12:00:00 AM,2024-2025,8.4,2024,45,08/01/2024 12:00:00 AM,,Hispanic,2024-11-09
11/16/2024 12:00:00 AM,2024-2025,8.92,2024,46,08/01/2024 12:00:00 AM,,Hispanic,2024-11-16
11/02/2024 12:00:00 AM,2024-2025,7.85,2024,44,08/01/2024 12:00:00 AM,,Hispanic,2024-11-02
11/23/2024 12:00:00 AM,2024-2025,9.36,2024,47,08/01/2024 12:00:00 AM,,Hispanic,2024-11-23
11/30/2024 12:00:00 AM,2024-2025,9.59,2024,48,08/01/2024 12:00:00 AM,,Hispanic,2024-11-30
